,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,KO,KO,KO,KO,KO,KO,KO,GE,GE,GE,GE,GE,GE,GE,JPM,JPM,JPM,JPM,JPM,JPM,JPM,MMM,MMM,MMM,MMM,MMM,MMM,MMM
,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-16 00:00:00-05:00,24.57603204345703,24.595262115478516,23.77798405456543,24.03759002685547,73666800,0.0,0.0,0.29247197582958373,0.29247197582958373,0.2849490568708034,0.28824034333229065,300227200,0.0,0.0,15.76503618604186,15.995744032666861,15.76503618604186,15.964982986450195,5821800,0.0,0.0,84.62340339884912,85.80394515529458,83.55017914702218,84.99903106689453,2679847,0.0,0.0,23.97186742360305,24.64323830041891,23.97186742360305,24.54450798034668,6497550,0.0,0.0,15.810429031151942,15.861348299261953,15.428534520326867,15.568562507629395,3178490,0.0,0.0
1999-02-17 00:00:00-05:00,23.52798495054245,23.71067057132721,22.845317630767823,23.076078414916992,101215600,0.0,0.0,0.28682981604940977,0.29106144879577794,0.2778954985890966,0.2783656716346741,296060800,0.0,0.0,15.964983781642191,16.057266924888676,15.626612256405073,15.826559066772461,6282000,0.0,0.0,84.35510992891098,87.03815442671637,84.14045849618307,85.26734161376953,2932871,0.0,0.0,24.12982891987118,25.196122478899287,24.011351857756946,24.406274795532227,9882600,0.0,0.0,15.773221912432813,15.850164476612667,15.529570459196613,15.606513023376465,2103046,0.234114,0.0
1999-02-18 00:00:00-05:00,23.22030419141923,23.287609420959576,22.15063179336731,22.422256469726562,117035200,0.0,0.0,0.28259737442274496,0.28494911894653113,0.2675506794173929,0.2708428204059601,500169600,0.0,0.0,15.826553143661766,16.072641433553493,15.734270034952367,15.90345573425293,5313800,0.0,0.0,85.85764421396765,87.03818652462547,84.51611736986663,86.39425659179688,2658877,0.0,0.0,24.327297679387183,24.623490434443916,23.971866373319106,24.090343475341797,6601050,0.0,0.0,15.491102242807786,15.77322503396623,15.362864610463037,15.657811164855957,1892072,0.0,0.0
1999-02-19 00:00:00-05:00,22.681867147661908,22.960703157531427,22.422261207438563,22.729942321777344,73085600,0.0,0.0,0.2727234698386409,0.28353850360982535,0.27225329683582,0.2797762155532837,361692800,0.0,0.0,15.90345427291928,16.2110646070183,15.765029622574723,16.1803035736084,9922600,0.0,0.0,86.23323944568297,87.09182056569057,85.75029422894329,86.17958068847656,2729551,0.0,0.0,24.031105041503906,24.544507024650283,24.01136006294859,24.031105041503906,5058450,0.0,0.0,15.632166637009863,15.786052761452035,15.478281448677311,15.747580528259277,2299190,0.0,0.0
1999-02-22 00:00:00-05:00,22.806870570657434,22.922251028856373,22.268428432395705,22.89340591430664,92514400,0.0,0.0,0.2811867797130604,0.29247198729132545,0.2802464085283466,0.289180725812912,298670400,0.0,0.0,16.088022848105222,16.088022848105222,15.841934544501317,15.857315063476562,9985600,0.0,0.0,86.17958426090466,89.29192352294922,86.01859978167109,89.29192352294922,3681300,0.0,0.0,24.031095003703943,25.59104347229004,24.031095003703943,25.59104347229004,6075600,0.0,0.0,15.760404848841281,16.157942559085313,15.683463183505637,16.106647491455078,3199300,0.0,0.0
1999-02-23 00:00:00-05:00,23.527981152628435,23.941427490823376,23.15299493891674,23.912582397460938,95106800,0.0,0.0,0.2901210718855692,0.29764484494909216,0.28541926618611324,0.289180725812912,322179200,0.0,0.0,15.841940769636299,15.841940769636299,15.272861343930916,15.442047119140625,10619200,0.0,0.0,88.862659655663,89.72123282877392,87.68211744216374,88.43336486816406,3021448,0.0,0.0,25.294852249083824,26.084699916453836,25.294852249083824,25.867490768432617,8625750,0.0,0.0,15.952759065713577,16.004054122980946,15.55522237189147,15.965581893920898,2730946,0.0,0.0
1999-02-24 00:00:00-05:00,24.066430434962324,24.51833703921451,23.499143421113832,23.518373489379883,67696800,0.0,0.0,0.2920018121429889,0.2934123563538291,0.2811867776792761,0.281656950712204,212755200,0.0,0.0,15.442039831360775,15.91883588193068,15.442039831360775,15.457420349121094,8784400,0.0,0.0,88.43334779697015,89.66755674624447,86.44789156671648,86.71620178222656,2878535,0.0,0.0,25.610797282537632,25.887243213100128,24.564248487475663,24.899934768676758,7325850,0.0,0.0,15.952757116540079,16.004052167540006,15.503925420290706,15.632163047790527,2323110,0.0,0.0
1999-02-25 00:00:00-05:00,23.441448539398394,23.65297924812143,23.01838712195232,23.614519119262695,70817200,0.0,0.0,0.2807166289169645,0.2835385716449903,0.27460427796541276,0.2778955399990082,264600000,0.0,0.0,15.45741963943155,15.87269359989389,15.395897571214906,15.811171531677246,8244400,0.0,0.0,86.39422391824321,87.25279683730976,84.19412466242937,86.17958068847656,3838610,0.0,0.0,24.505011383281115,25.117143630981445,24.189073674895173,25.117143630981445,5097600,0.0,0.0,15.555218883793968,15.619337691000196,15.106387233350363,15.439805030822754,3086158,0.0,0.0
1999-02-26 00:00:00-05:00,23.441453349282604,23.46068341765773,22.999161776654628,23.095312118530273,59273200,0.0,0.0,0.27460418681861953,0.27836562071935655,0.25955749695767527,0.2619084119796753,667251200,0.0,0.0,15.811177139879439,15.964982364975542,15.426664077139181,15.718894004821777,8363200,0.0,0.0,86.71617873386425,87.0918063749865,84.83804052825295,86.12590789794922,3257633,0.0,0.0,25.077642254774446,25.43307339630125,24.80119460615386,25.156625747680664,5236200,0.0,0.0,15.478286107686401,15.606523803230113,15.080749251500894,15.196163177490234,2526909,0.0,0.0
1999-03-01 00:00:00-05:00,23.008768871942106,23.47029035370275,22.999153841072093,23.345294952392578,58332000,0.0,0.0,0.2619084819770206,0.2619084819770206,0.2529741637630908,0.2539145350456238,487827200,0.0,0.0,15.71889586069633,15.734276385021865,15.411285374185638,15.672754287719727,5425000,0.0,0.0,85.96496322429388,87.1991642156044,84.56977771217252,86.66255187988281,2737188,0.0,0.0,25.11713159324083,25.847740583385434,25.018401332665217,25.512054443359375,6638250,0.0,0.0,15.170508522090381,15.208979812707106,14.862738197156588,15.093565940856934,2183178,0.0,0.0
